"zip_code","lat","lon","location_text","population","housing_units","median_income"
98101,47.61,-122.33,"Seattle WA",9010,6673,58713
98102,47.63,-122.32,"Seattle WA",19424,12913,68969
98103,47.67,-122.34,"Seattle WA",41971,21886,66949
98104,47.6,-122.32,"Seattle WA",13095,5928,24601
98105,47.66,-122.3,"Seattle WA",38963,15317,71754
98106,47.53,-122.35,"Seattle WA",23317,8833,44115
98107,47.66,-122.37,"Seattle WA",18516,10151,59688
98108,47.54,-122.31,"Seattle WA",21223,7583,43942
98109,47.63,-122.34,"Seattle WA",16018,10100,76307
98110,47.65,-122.53,"Seattle WA",20308,8517,83415
98111,47.6,-122.33,"Seattle WA","",0,0
98112,47.62,-122.29,"Seattle WA",20480,10414,98709
98113,47.6,-122.33,"Seattle WA","",0,0
98114,47.6,-122.32,"Seattle WA","",0,0
98115,47.68,-122.3,"Seattle WA",43567,20185,76422
98116,47.57,-122.39,"Seattle WA",20826,10990,75381
98117,47.68,-122.37,"Seattle WA",29667,13624,67342
98118,47.54,-122.27,"Seattle WA",40791,14574,49849
98119,47.63,-122.36,"Seattle WA",19662,10836,79177
98121,47.61,-122.34,"Seattle WA",8558,6741,66700
98122,47.61,-122.3,"Seattle WA",28790,14588,43984
98124,47.6,-122.33,"Seattle WA","",0,0
98125,47.71,-122.3,"Seattle WA",34994,16446,56628
98126,47.54,-122.37,"Seattle WA",18906,8701,57193
98127,47.6,-122.33,"Seattle WA","",0,0
98129,47.6,-122.33,"Seattle WA","",0,0
98131,47.6,-122.33,"Seattle WA","",0,0
98132,47.6,-122.33,"Seattle WA","",0,0
98133,47.73,-122.34,"Seattle WA",42896,19734,54093
98134,47.57,-122.33,"Seattle WA",636,46,0
98136,47.53,-122.38,"Seattle WA",14138,7020,73750
98138,47.45,-122.25,"Seattle WA","",0,0
98139,47.6,-122.33,"Seattle WA","",0,0
98141,47.6,-122.33,"Seattle WA","",0,0
98144,47.58,-122.3,"Seattle WA",24913,10420,48217
98145,47.65,-122.31,"Seattle WA","",0,0
98146,47.5,-122.35,"Seattle WA",25574,10022,52691
98148,47.44,-122.33,"Seattle WA",9519,4552,46607
98151,47.6,-122.33,"Seattle WA","",0,0
98154,47.6,-122.33,"Seattle WA",1,0,0
98155,47.75,-122.3,"Seattle WA",33914,13463,66172
98158,47.44,-122.3,"Seattle WA","",0,0
98160,47.76,-122.36,"Seattle WA","",0,0
98161,47.6,-122.33,"Seattle WA","",0,0
98164,47.6,-122.33,"Seattle WA",1,0,0
98165,47.6,-122.33,"Seattle WA","",0,0
98166,47.45,-122.34,"Seattle WA",20302,8808,65385
98168,47.49,-122.3,"Seattle WA",30198,11908,46099
98170,47.6,-122.33,"Seattle WA","",0,0
98171,47.6,-122.33,"Seattle WA","",0,0
98174,47.6,-122.33,"Seattle WA",180,0,0
98175,47.6,-122.33,"Seattle WA","",0,0
98177,47.74,-122.36,"Seattle WA",18920,7697,77490
98178,47.49,-122.24,"Seattle WA",21860,8725,54198
98181,47.6,-122.33,"Seattle WA","",0,0
98184,47.6,-122.33,"Seattle WA","",0,0
98185,47.66,-122.29,"Seattle WA","",0,0
98188,47.45,-122.27,"Seattle WA",22583,10118,46675
98190,47.6,-122.33,"Seattle WA","",0,0
98191,47.6,-122.33,"Seattle WA","",0,0
98194,47.6,-122.33,"Seattle WA","",0,0
98195,47.65,-122.31,"Seattle WA","",0,0
98198,47.39,-122.31,"Seattle WA",33561,13169,54401
98199,47.64,-122.39,"Seattle WA",19156,9416,79842
